task_id,task_name,client,project,confidence,notes
868kh0y3g,"[P0] Call Dr. Sam + deliver email campaign in Instantly","Dr. Sam","Email Campaign",high,"Parent campaign task"
868jw8zuk,"Get Dr. Sam to approve e-mail templates","Dr. Sam","Email Campaign",high,"Subtask under Dr. Sam outbound campaign"
868kchkwz,"[P0] Start sending emails ASAP","Dr. Sam","Email Campaign",high,"Outbound/email campaign"
868kchkaj,"[P0] Monitor Instantly weekly - sends + leads reaching Dr. Sam","Dr. Sam","Email Campaign",high,"Instantly campaign monitoring"
868jw8zt0,"Signup for Instantly and start warming up domain","Dr. Sam","Email Campaign",high,"Subtask under Dr. Sam outbound campaign"
868jxhe4k,"Set up domain and DNS for outbound sending","Dr. Sam","Email Campaign",high,"Subtask under Dr. Sam outbound campaign"
868jxhe4g,"Choose outbound domain (shortlist and final selection)","Dr. Sam","Email Campaign",high,"Subtask under Dr. Sam outbound campaign"
868jxhe4d,"Run 1-hour setup call with Dr. Sam","Dr. Sam","Email Campaign",high,"Subtask under Dr. Sam outbound campaign"
868jxhe4t,"Define ICP and pick first test lead segment","Dr. Sam","Email Campaign",high,"Subtask under Dr. Sam outbound campaign"
868jxhe58,"Configure Instantly campaign, QA, and launch test batch","Dr. Sam","Email Campaign",high,"Subtask under Dr. Sam outbound campaign"
868jxhe50,"Build lead list and verify emails for first batch","Dr. Sam","Email Campaign",high,"Subtask under Dr. Sam outbound campaign"
868jxhjw3,"Purchase new domain","Dr. Sam","Email Campaign",high,"Subtask under Dr. Sam outbound campaign"
868jw8ztx,"Generate a list of 1,000 leads","Dr. Sam","Email Campaign",high,"Subtask under Dr. Sam outbound campaign"
868jxhe5h,"AI Batch 24 - Summarize final launch readiness status","Dr. Sam","Email Campaign",high,"Subtask under Dr. Sam outbound campaign"
868jxhe5f,"AI Batch 23 - Create iteration plan after first replies","Dr. Sam","Email Campaign",high,"Subtask under Dr. Sam outbound campaign"
868jxhe5e,"AI Batch 22 - Define campaign reporting dashboard metrics","Dr. Sam","Email Campaign",high,"Subtask under Dr. Sam outbound campaign"
868jxhe5d,"AI Batch 21 - Create reply handling workflow","Dr. Sam","Email Campaign",high,"Subtask under Dr. Sam outbound campaign"
868jw8zr8,"Decide to purchase domain or use a sub-domain","Dr. Sam","Email Campaign",high,"Subtask under Dr. Sam outbound campaign"
868jxhe4b,"(Consolidated) Moved to Launch checklist","Dr. Sam","Email Campaign",medium,"Duplicate/consolidated Dr. Sam launch task"
868jxhe57,"(Consolidated) Moved to Launch checklist","Dr. Sam","Email Campaign",medium,"Duplicate/consolidated Dr. Sam launch task"
868jxhe4z,"(Consolidated) Moved to Launch checklist","Dr. Sam","Email Campaign",medium,"Duplicate/consolidated Dr. Sam launch task"
868jxhe4p,"(Consolidated) Moved to Launch checklist","Dr. Sam","Email Campaign",medium,"Duplicate/consolidated Dr. Sam launch task"
868jxhe59,"(Consolidated) Moved to Launch checklist","Dr. Sam","Email Campaign",medium,"Duplicate/consolidated Dr. Sam launch task"
868jxhe4e,"(Consolidated) Moved to Launch checklist","Dr. Sam","Email Campaign",medium,"Duplicate/consolidated Dr. Sam launch task"
868jxhe54,"(Consolidated) Moved to Launch checklist","Dr. Sam","Email Campaign",medium,"Duplicate/consolidated Dr. Sam launch task"
868jxhe55,"(Consolidated) Moved to Launch checklist","Dr. Sam","Email Campaign",medium,"Duplicate/consolidated Dr. Sam launch task"
868jxhe4v,"(Consolidated) Moved to Launch checklist","Dr. Sam","Email Campaign",medium,"Duplicate/consolidated Dr. Sam launch task"
868jxhe5b,"(Consolidated) Moved to Launch checklist","Dr. Sam","Email Campaign",medium,"Duplicate/consolidated Dr. Sam launch task"
868jxhe52,"(Consolidated) Moved to Launch checklist","Dr. Sam","Email Campaign",medium,"Duplicate/consolidated Dr. Sam launch task"
868jxhe51,"(Consolidated) Moved to Launch checklist","Dr. Sam","Email Campaign",medium,"Duplicate/consolidated Dr. Sam launch task"
868jxhe4r,"(Consolidated) Moved to Launch checklist","Dr. Sam","Email Campaign",medium,"Duplicate/consolidated Dr. Sam launch task"
868jxhe4y,"(Consolidated) Moved to Launch checklist","Dr. Sam","Email Campaign",medium,"Duplicate/consolidated Dr. Sam launch task"
868gq6g3p,"[P2] Deploy AI Answering Machine","Linder Diaz Law","AI Answering Machine",high,"Task title is specific"
868gm8xhh,"[P2] Daphney to setup stamps.com","Linder Diaz Law","Admin / Operations",medium,"Operational/admin setup"
868kchae4,"[P2] Set up Neos CRM new-case + weekly status reports","Linder Diaz Law","Neos CRM",high,"Neos CRM"
868kchae1,"[P2] Russian-market advertising: follow up with Netcost (TV screens)","Linder Diaz Law","Advertising",high,"Advertising follow-up"
868kchadt,"[P2] Send the drafted Case Connect small-claims filing","Linder Diaz Law","Case Connect",high,"Case Connect filing"
868kh0y3f,"[P0] Schedule furniture move for Thursday - call Administration","Linder Diaz Law","Office Move",high,"Office move"
868kh0y3d,"[P0] 1909 Tyler office move - finalize the lease","Linder Diaz Law","Office Move",high,"Office move"
868kchaxg,"[P2] Pipo to create a video with Linder Diaz Law","Linder Diaz Law","Video / Content",high,"Video task"
868jwxypg,"[P1] RTT - Static Pages - Review HTML pages and choose between options","Rock The Treatment","Mobile / Static Pages",high,"RTT static/mobile pages"
868gnt35k,"[P2] Email Automation Sequence #1","Rock The Treatment","Email Automation",high,"Email automation"
868kpbe1v,"Stamped IO - Survey why people did not check out","Rock The Treatment","CRO / Ecommerce",high,"Checkout survey/CRO"
868khtupp,"Check Meta Ads for RTT","Rock The Treatment","Recurring Marketing Checks",high,"RTT recurring ad check"
868khtut4,"Check Merchant Center for RTT","Rock The Treatment","Recurring Marketing Checks",high,"RTT recurring merchant-center check"
868jya7ay,"Check Hyros Air performance","Rock The Treatment","Recurring Marketing Checks",medium,"Hyros Air associated with RTT from prior tasks"
868jya7b5,"Check Google Ads for RTT and HBOTQ","Multiple","Recurring Marketing Checks",medium,"Cross-client recurring check"
